judul,alamat,deskripsi,kamar,bangunan,lahan,harga
Dijual Rumah Baru di Kiara Sari Kiaracondong Bandung,"Buahbatu, Bandung",Dijual Rumah Baru di Kiara Sari Kiaracondong Bandung  Luas Tanah 80 m² Luas Bangunan 105 m² Lebar Muka 7 m 2 Lantai Kamar Tidur 3+1 Kamar Mandi 2 Air Sible  Listrik 1300 Watt Carport 1 Mobil   Hadap Utara SHM  Harga 1.3 M Nego  Selling point: Dekat ke Tol Buah Batu Dekat Ke Samsat  Dekat ke Carrefour Dekat ke Sarana pendidikan Dekat ke Tempat Ibadah  Kode RJ06062104  Info Lebih Lanjut: Wao Harefa - Artha Property Nomor di Profile Fast Respons WA dan Telp  hendra 06/06/21,3,105,80,1300000000
Cluster Monterosa Betag Artha Residence di Ciwastra,Bandung,Sudah lebih dari 250 kepala keluarga tinggal di sini .Selling point :  - CCTV Control 24 Jam - One Get System - Automatic Gate - Bebas Banjir - Tersedia Sarana Ibadah Mesjid dan Sarana Pendidikan - Dekat kota mandiri Summarecon - Lokasi berdampingan dengan Podomoro Park - Dekat pintu tol Gedebage - Dekat Station KRL - 800 meter jl Raya Ciwastra - 10 menit RS Al-Islam Soekarno Hatta - 10 Menit ke Lotte Mart - 15 menit MIM/MTC Soekarno Hatta - 20 menit Transmart Carrefour Kiara Condong - 20 menit pintu tol Buahbatu - 20 menit Transmart Bojongsoang - 20 menit Yogya Dept Store - 20 menit STT Telkom,2,40,60,477500000
Rumah Siap Huni Taman Holis Indah Bandung Lokasi Sangat Strategis,Bandung,Jual cepat rumah siap huni kompleks Taman Holis Indah Bandung Lokasi sangat strategis dekat ke tol Kopo bandung dan soekarno Hatta Bandung. LT 108 m LB 130 m2 Bangunan 2 LT HGB listrik 2200 watt air pompa s.sible Kamar tidur 3 + 1 kamar mandi 2 +1 lantai pk granite hadap timur Harga 950 Nett,4,130,108,950000000
"Murah rumah 1,5Lantai hanya480jt nego sayap margahayu bandung","Margahayu Utara, Bandung","dijual rumah baru renovasi 1.5 lantai di propelat sayap margahayu Spesifikasi rumah Rumah baru 72/83 1 Kamar Utama 1 Kamar Anak 3 Kamar Mandi Ruang Tamu Ruang Keluarga  Dapur luas Carport 2 Lantai Sertifikat HGB LT/LB 72/83 Harga awal 570jt turun jadi 480jt nego  Layanan Agen: Pembeli bebas biaya komisi Penjual bebas biaya promosi Penjual dan Pembeli gratis jasa konsultasi Dibantu proses negosiasi sampe jadi Dibantu proses KPR dan AJB sampe kelar Dipilihkan properti terbaik, termurah dan sesuai kebutuhan terima titipan penjualan property hubungi TLP/W",2,83,72,480000000
Rumah syariah [READY STOCK] Nouka Village rumah siap huni nyaman bandung barat,"Cisarua, Bandung","NAMA PERUMAHAN: NOUKA VILLAGE  TERSEDIA: - RUMAH: TIPE LB 75 m² / LT 63 m²  HARGA CASH: 725 JUTAAN --> BISA KPR SYARIAH [RUMAH READY STOCK]  - RUMAH: TIPE LB 90 m² / LT 129 m²  HARGA CASH: 1.3 MILIARAN --> BISA KPR SYARIAH [RUMAH INDENT]  NOTE:  - BOOKING FEE 3 JUTA TERMASUK BAGIAN DARI DP - NUP 1 JUTA  KETERANGAN: LB = LUAS BANGUNAN LT = LUAS TANAH  INCLUDE LEGALITAS: - SHM - IMB  BISA KREDIT MURNI *100%* SYARIAH TANPA RIBA CICILAN LANGSUNG KE DEVELOPER SYARIAH - tanpa KPR BANK - tanpa RIBA - tanpa DENDA - tanpa PINALTI - tanpa SITA - tanpa GHARAR - tanpa RIBET - tanpa BI CHECKING - tanpa AKAD GANDA - tanpa AKAD BATHIL  ...  BISMILLAHIRRAHMANIRRAHIM  Nouka Village Type Kurobu  2 KT 2 KM 1 Carport Taman Tangga Sudut  Pondasi: Cakar Ayam (dalam 2m) Struktur: Beton Bertulang Dinding: Bata Merah, plester,aci,fin.cat Plafond: Gypsum Pintu: Panel/HDF Kusen: Alumunium Rangka Atap: Baja Ringan Penutup Atap: Genteng Metal Pasir Lantai: Granit 60x60 Sanitair: Closet Duduk + Shower  Air: Pam swadaya Listrik: 1300 Status Sertifikat: SHM  SURVEY AKHIR TAHUN NOUKA VILLAGE, Anda Hemat 145Jt dan Peluang UNTUNG Senilai 250Jt  Dapatkan Promo Terbaik di Akhir Tahun bersama Nouka Village  Dapatkan Berbagai Keuntungan bagi anda yang menginginkan Hunian dengan Nuansa Sejuk dan Nyaman di Nouka Village  Apa Saja Keberuntungan nya? - Gratis Tiket Wisata Park&Zoo lembang - Kitchen Set Dan Furniture Senilai 25jt - Water Heater senilai 3jt - Water Torn senilai 2jt - Layanan Asistensi Desain dari Team Arsitek kami senilai 15jt - Free Biaya2 sampai SHM dan pajak2 senilai +- 100jt - Hadiah Kejutan, Mobil XPander senilai 250jt (Diundi)  Mau Negosiasi? Pastikan Keberuntungan Milik Bapak & Ibu semuanya Survey Lokasi nya Pilih Unitnya Pilih Skemanya Negosiasi Harganya Pastikan Keberuntungan Milik Anda  Jangan Sampai Menyesal kehabisan Unit  di Nouka Village  Fasilitas: - Masjid - One Gate System - Security 24 jam - CCTV - Taman Tematik - Resort Management  ""karena hunian bukan hanya sekedar tempat tinggal""  Segera booking unitnya dan survey ke lokasinya, sebelum unitnya kehabisan.  Alamat Lokasi: NOUKA VILLAGE Jl Kolonel Masturi, Cisarua, Bandung Barat, Bandung, Jawa Barat.  TUNGGU APA LAGI? SEGERA HUBUNGI MARKETING TERBAIK KAMI: NAMA: NUR HABIBULLAH (HABIB) WHATSAPP:  Minat SURVEY mohon konfirmasi H-1  SOLUSI KEPEMILIKAN RUMAH SESUAI DENGAN SYARIAT ISLAM  JAZAKUMULLAH KHOIR",2,75,63,725000000
"Rumah di Leuwisari, Sangat Siap Huni, Lokasi Strategis !","Bojongloa Kidul, Bandung","Rumah dengan lokasi strategis di tengah kota
Akses hanya 5 menit ke terminal leuwipanjang
Sangat siap huni, bangunan cenderung masih baru

Spesifikasi sebagai berikut :
Lt 91, Lb 150
3 Kt, 2 Km, Carport
Listrik 2200 watt
Air Submersible

Harga Penawaran : 1,65 M",3,170,91,1650000000
Dijual Rumah fresshhh taman cibaduyut indah,"Bojongloa Kidul, Bandung",Dijual Rumah fresshhh taman cibaduyut indah Spesifikasi : - SHM (Sertifikat Hak Milik) - Luas tanah 150 m2 - Luas Bangunan 130 m2 - Hadap Utara - 1 Kamar tidur utama + kamar mandi dalam - 2 kamar tidur anak - 1 kamar mandi luar - 1 Kamar pembantu + 1 km mandi pembantu - Jetpump+toren +sanyo - Garasi + Carport - Lebar muka 10m x 15m - Jalan depan Aspal - Bonus Filter Air Fiberglass   Harga 1.1 M kode mmg,3,130,150,1100000000
"Rumah sukamulya dekat pasteur, sutami, babakan jeruk, setrasari bandung","Sukagalih, Bandung","Rumah sukamulya dekat pasteur, sutami, babakan jeruk, setrasari bandung Rp. 9.500.000.000  Sertifikat Hak Milik Lt 741/725.  Lb. +/-600.  Kamar tidur 5+2.  Kamar mandi 4+1.  PLN 6600W.  WATER HEATER. AC. FURNITURE.  2 DAPUR.  Carport 6  Hub : Vivi Whizpro",5,600,741,9500000000
RUMAH KEKINIAN Strategis di KOTA BANDUNG,"Arcamanik, Bandung","RUMAH KEKINIAN murah di KOTA BANDUNG  Yes, sekarang akhirnya kita bisa mewujudkan rumah impian yang Strategis di tengah kota Bandung tepatnya di Cisaranten Endah, Arcamanik. Apa aja sih keUnggulanya?  Lokasi Strategis ± 10 menit ke gedung sate ± 5 menit ke pusat perBelanjaan ± 5 menit ke sarana olahraga ± Akses jalan 2 mobil  Design modern Legalitas aman Masih banyak lagi Benefitnya  Sekarang lah saatnya kita bisa dapetin rumah impian yang kekinian dengan harga terjangkau mulai dari 580 jutaan.  video= https://youtu.be/dXnZ-0G5m3Y  Info & survey hubungi= Elly Rahayu  #rumahdijual  #AULiv #Arcamanik #Bandung",2,45,72,586750000
Langka!! Jarang Ada!! Jual Rumah Indah di Kopo Permai,Bandung,1 lantai Lt140/lb120 Kmr tidur=3kmr mandi=2 Garansi=3 Lustrik4400watt Air jet pump Hadap:selatan Dijual Rp 950jt nego  R1,3,120,140,950000000
"Dijual rumah minimalis, Cluster, dekat ITB","Coblong, Bandung","Dijual rumah minimalis, 2lt, ONE Gate system', Aman, lingkungan nyaman, Asri, dekat ke pusat kota",3,160,128,2200000000
"Jarang ada! !! Murmer! !! Rumah minimalis, siap huni, pinus regency, bandung timur",Bandung,"Jarang ada!!! Murmer!!! Rumah minimalis, siap huni, pinus regency, bandung timurPerumahan pinus regency, sayap soekarno hatta, dekat MTC mallLokasi strategisLuas tanah 144 m2Luas bangunan 88m24 k.tidur2 k.mandiAir summersibleHarga spesial.... 900jt nettt ( hy di bulan ini )",4,88,144,900000000
"Rumah bagus minimalis, Budi Luhur – Setraduta, Kotak 8x17,5, Nego.",Bandung,"Rumah bagus minimalis siap huni di komplek Budi luhur - Setraduta. Dekat dengan Universitas maranatha, Politeknik negeri bandung, pusat perbelanjaan mall Bandung trade center dan PVJ, pusat pertokoan Jl. Djunjunan Pasteur dan sukajadi, RS. Hasan Sadikin, dan dekat dengan gerbang tol pasteur. Lingkungan asri dan nyaman. Aman, Kotak ﾠ8 x 17,5. Hadap Timur. Siap huni.MahfudinAgent property spesialis area bandung utaraPhone: WhatsApp :",3,160,140,1900000000
Rumah Taman Holis,"Cigondewah, Bandung","Di jual Rumah di THI  Kondisi terawat bagus, siap huni Kitchen set by METRIC SHM LT : 153 m2 (sesuai sertifikat) LB : 120 m2  Lebar ± 9 meter KT 3 + 1 KM 2 + 1 Hadap Barat Listrik 2200 Jetpump Toren 2000 liter + filter air Sudah termasuk - Kitchen set (Merk METRIC) - CCTV 4 kamera + decoder - Rak Mainan (2.7m x 1.9m)  HARGA 1,8 M Nego",4,120,153,1800000000
Rumah Baru Minimalis 2lantai Mekarwangi,"Mekarwangi, Bandung","Rumah Baru Minimalis 2lantai MekarwangiJual Rumah Baru (on progress) Mekar WangiLokasi Bagus & Jalan Besar
Lt120 m (6x20)Lb 176 mGlazed Polished Granit 80x80Kamar Tidur 4 + 1Kamar Mandi 3 + 1Hadap BaratBalkon + Railing KacaListrik 2200wAir JetpumpCarport 2 Mobil
Harga 2.8M nego
(JF)",5,176,120,3450000000
2 unit rumah Baru & Lux @ Cipaku Indah,"Setiabudi, Bandung","- lokasi Setiabudi depan kampus UPI- bangunan relatif baru- bangunan 2,5 lantai- hadap utara- lebar muka +/- 7 meter- halaman belakang lega (bisa u/ kolam renang)- view menawan- Kamar tidur utama + k.mandi dalam (Lt.2)- ada KT-KM untuk Asisten rumah tangga- ada gudang dan space untuk service area- lingkungan tenang- akses 1 gerbang dengan pos satpam- portal",3,270,242,2950000000
Rumah murah kualitas gak murahan di budi indah bandung,"Setiabudi, Bandung",Dijual Rumah Baru Smart Home System Modern Di Budi Indah Bandung Utara   Luas Tanah 200 m² Luas Bangunan 200 m² Lebar Muka 10.5 m  2 Lantai  Kamar Tidur 4 Kamar Mandi 3 Listrik 2200 Watt Air Jetpump Carport 3 Mobil    Hadap Utara  SHM   Harga 2.7 M Nego INDENT 5-6 Bulan  Desain Custom    Selling point: Dekat ke Terminal Ledeng Dekat ke Kampus UPI Dekat ke RS Advent Dekat ke Cihampelas Walk (Ciwalk),4,200,200,2700000000
RUMAH MEWAH TRUNOJOYO KOTA BANDUNG,Bandung,posisi di tengah kota bandung,7,1000,892,38000000000
"TURUN HARGA DRASTIS MURAH!! Rumah KECE luas 102m2,3kamar TERLARIS OVERKREDIT BON","Soekarno Hatta, Bandung","2 LANTAI 3 KAMAR DIOVER 160 JT NEGO KODYA BANDUNG   TIPE RUMAH : 55/102 Sertifikat : Hak Milik  Kamar Mandi : 2 Kamar Tidur : 3 Jumlah Lantai : 2 Air : Mesin Sible + Filter  Listrik : 1300 Watt   DP OVERKREDIT : 160 JUTA NEGO  CICILAN : 5.8 JUTAAN  SYARAT: CUMA FOTOCOPY KTP,KK AJA Langsung Transaksi di notaris Langsung serah terima kunci  Rumah Overkredit TANPA PROSES KPR & TANPA BI CHECKING Solusi bagi anda yg ribet / ga bisa proses Kpr,  KODYA BANDUNG  Lokasi Strategis 5 MENIT KE BORMA MARGACINTA  Air Bersih Bebas Banjir  lokasi Nyaman dan aman  Rumah Full RENOV  Hanya 10 MENIT KE Margahayu Raya  Hanya 10 MENIT KE Jl. Soekarno Hatta Bypass  + Dekat Arcamanik, Antapani, SoekarnoHatta, Cijaura, MARGACINTA, MargahayuRaya, kota Bandung, Kiaracondong, Batununggal, BuahBatu, Cikoneng, Ciganitri, Cipamokolan, Gatot Subroto  AYOO SURVEY DAN BOOKING SEGERA!!  Peminat serius hubungi kami: AMI (WA)",3,55,102,699500000
"Rumah Lux, Semi Furnished di Komplek Setramurni, Bandung Utara","Sukasari, Bandung","Dijual Rumah LUX, Siap huni, semi furnished Komplek SETRAMURNI  Bandung Utara Dekat SETRASARI MALL, MARANATHA, TOL Pasteur, Gegerkalong, Setiabudi.  Lt: 476 m2 (actual 536m2)   Lb: 500 m2 Lantai: 2 Sertifikat : Hak Milik Tahun bangun : 2014 Bentuk tanah: Ngantong Lebar muka : kl 14mtr lebar belakang: kl 17mtr Semi Furnished. Garasi 2 mobil Carport 2-3 mobil 2Kamar tidur+Kamar mandi dalam, 2Kamar tidur biasa, 4Kamar mandi+1, 2Kamar tidur pembantu 2 Gudang ada pavilion utk workshop lantai granit 80/80 parket merbau saniter TOTO Kran Grohe listrik 5500 air jetpump bisa diminum.  Harga penawaran Rp 8.8 M (nego)",4,500,476,8800000000
"Murah! ! Rumah cantik kota baru parahyangan, bandung",Bandung,"Murah!! Rumah cantik kota baru parahyangan, bandung Tatar Naganingrum, Kota Baru Parahyangan Surat SHM Luas Tanah = 162 m2, Luas Bangunan = 95 m2, Bagunan 1lt Kamar Tidur= 3 + 1 , Kamar Mandi = 1 + 1 Taman Depan, Taman Belakang AC Split 2, Listrik 3300 watt, Carport Harga = Rp. 1,950 M (nego) Nett 1,85M Hub :  /",4,97,162,1850000000
Dijual rumah tingkat siap huni dengan 7 kamar tidur dan 2 kamar mandi,Bandung,Lt 80 Lb 140 Kmr tdr 7 Kmr mandi 2 Carport 1 mobil Air jetpump Listrik 1300 watt SHM,7,140,80,600000000
Rumah Mewah Murah Bandung Pasteur Nyaman Nan Strategis,Bandung,"Rumah Mewah Murah Bandung Pasteur Nyaman Nan Strategis  TOWN HOUSE The Cascade Pasteur Lokasi Di Pasteur Bandung Utara Lingkungan tenang dan nyaman Hanya 3 menit dari pintu Tol Pasteur, Bandara Husen Sastranegara Dekat Universitas Maranatha Bandung  Spesifikasi: - 4 Kamar Mandi - 4 Kamar Tidur - One gate sistem - Security 24 jam - Carport - ZEN Garden - CCTV - Smart Town House Sistem - Wifi - view: city, mountain, sunrise, sunset - Udara sejuk, lingkungan tenang dan aman   Luas Tanah 63 m2 - 77 m2  Luas Bangunan 149 m2 - 182 m2  Harga Start From Rp. 1.550 M Stok Terbatas Hanya 16 unit saja !! Ready Stock dan Indent  Selling point: - Selangkah dari Gate Way Pasteur - Dekat dengan pusat perbelanjaan (Griya yogya, Alfamart, Borma) - Dekat dengan sekolah SD, SMP, SMA & Universitas Maranatha - Dekat ke Pombensin, Rumah Sakit dll - Dekat Bandara Husein Sastranegara Bandung - Dekat dengan pusat kuliner - 3 menit ke tol pasteur  Hubungi Segera Marketing GMP Property : WARPONO HP/WA   Rasyd",4,149,63,1550000000
Dijual Rumah Bertanah Luas Sayap Pasteur,"Pasteur, Bandung","SHM 1.389/600 TIMUR KT 6+2 KM 5 GARASI 3 CARPORT 8 2.200 WATT ARTESIS SEMI FURNISHED  LOKASI : SAYAP PASTEUR  ""KONSULTASIKAN MENGENAI KEBUTUHAN ANDA, SAYA SIAP MEMBERIKAN UNIT YANG SESUAI DENGAN KEBUTUHAN ANDA""  MORE INFO YUGO ALPHA REALTY -dms-",6,600,1389,8700000000
Sisa 1 Unit Rumah Cihanjuang Cibaligo KBB dekat Geger Kalong Strategis,"Parongpong, Bandung","CLUSTER CIHANJUANGSisa 1 Siapa Cepat Booked dia Dapat !!!SEGERA SURVEY !Mini Cluster cantik di kawasan Cihanjuang. Dengan udara sejuk khas dan keamanan One Gate System menjadikan pilihan tepat untuk kenyamanan dan keamanan keluarga tercintaDitunjang dengan lokasi yang sangat strategis, memudahkan segala bentuk aktifitas anda sehari-hari*Best Point*- akses ke JALAN UTAMA CIHANJUANG cuma 50m- ALFAMART- INDOMART- akses dekat dan mudah menuju Borma Cihanjuang- Kuliner di Cihanjuang- Akses Tol Pasteur dan Baros- Dekat Pemkot Cimahi*SARANA PENDIDIKAN*- Sekolah IT Darul Fikri - Sekolah IT Asih Putra- Sekolah IT SIAS- Sekolah IT Ar Rahman- Dekat Darut tauhid gegerkalong - Dekat Kampus UPI, Polban, Poltekpos, Maranatha dan EnhaiiTersedia 2 type, dengan harga terjangkau38/72 (1 Lantai) 565jt62/72 (2 Lantai) 720jtFree Canopy* Harga khusus untuk pembelian CASHKPR DP 20%Free biaya pajakFree AJB dan Balik namaSHMInfo lengkap Hubungi :Bpk Tono Prolov.",2,38,72,565000000
Rumah Sejuk sariwangi dekat gegerkalong sarijadi dan pasteur,"Parongpong, Bandung","Rumah Sejuk sariwangi dekat gegerkalong sarijadi dan pasteur Harga Rp 3,2 M  pinggir jalan, cocok untuk usaha Luas Tanah : 330 m2 Luas Bangunan : 400 m2 Kamar Tidur : 6 kamar Mandi : 4 SHM, IMB Carport  Alamat : Kec Parongpong  Mau Informasi tentang rumah ini ?, hubungi langsung no yang tertera di iklan, tlp/wa/sms   WA   :",6,400,330,3200000000
Dijual Rumah Klasik Kolonial di Sayap Riau,"Riau, Bandung",Dijual Rumah Klasik Kolonial di Sayap Riau  Lt 500m Lb 400m KT 5 KM 3 Listrik 2200W Garasi 1 Carport 2 Cocok untuk cafe dan kantor  Open di 11.25M  More Info :  David,5,400,500,11250000000
Rumah minimalis murah dekat stt telkom,"Buahbatu, Bandung",Jual Rumah Minimalis dekat STT Telkom dan Transmart Bojong soangLuas tanah: 128 m²Luas bangunan : 120 m²Kmr tdr : 3Km : 3Bangunan 2 lantaiCarportTaman belakangSHMHarga 850 juta nego,3,120,128,850000000
"Rumah Baru Minimalis, Ready di January !!!! di Mekarwangi, Bandung","Mekarwangi, Bandung","Terbaru!!!Rumah baru minimalis di Mekar Wangi,Bandung Mekar Sejahtera Lokasi Strategis dan mainroad Luas tanah 111 mtr Luas bangunan 170 mtr Bangunan 2 lantai ( Lebar muka 6.5 x 17 ) KT 3+1 KM 3+1 Listrik 2200 watt Air Jetpump Taman belakang Surat SHM Hadap Timur Carport 2 mobil Harga 2.8 M",3,170,111,2800000000
Dijual Rumah Modern Mekarwangi Bandung,"Mekarwangi, Bandung","Dijual Rumah Modern 2lt Mekarwangi Bandung Lt 100 / Lb 134 K.tidur 3, K.mandi 4 Bangunan dengan qualitas tinggi , Sirkulasi udara  dan pencahayaan yg baik sehingga membuat nyaman dan betah buat ditempat.   Survei dan Info : Fisti Discovery",3,134,100,2345000000
Rumah Baru 3 Lantai Sayap Riau,"Riau, Bandung","Rumah baru saya Riau Supratman kota Bandung.  Luas tanah 120 Luas bangunan 270m  Lokasi sangat strategis pusat kota   Terdiri dari Dua Rumah Terpisah dalam satu Hamparan   Dalam Satu rumah yg terdiri dari:  Lantai 1: Ruang tamu, 1 kamar mandi, mushola  Lantai 2 : 2 kamar tidur dan 1 kamar mandi  Lantai 3 : 1kmar pembantu, 1kamar mandi, gudang, teras   listrik 3500watt, internet, waterheater gas,   sangat cocok untuk tinggal dan kantor  untuk di sewakan kembali juga bisa...  karena kebutuhan sewa dengan luas kecil di sayap Riau cukup tinggi..  Harga Nego SHM  Harga 3,2M",4,300,120,3200000000
Rumah di TKI 2 Patung Gajah Jual BU,"Margahayu, Bandung","Dijual rumah dgn spek:- L. Tanah 96- L. Bangunan 70- K. Tidur 2- K. Mandi 1- Carport 1- Air jetpam- Listrik 1300- Hadap Barat- Harga 850jt nego
Lokasi strategis, dekat ke:- Pasar Seger TKI- Borma",2,70,96,850000000
"Cicilan 2,9 JT an Model Compact Terbaru ELEGANT Minimalis Cilengkrang Bandung","Cilengkrang, Bandung","Cicilan 2,9 JT an Model Compact Terbaru ELEGANT Minimalis Cilengkrang Cibiru Bandung Timur  Beda dari yang lain nih hanya ada 1 unit saja rumah compact dengan 3 kamar tidur yang lokasinya strategis banget di daerah Cibiru.  Tipe 54 Luas Tanah 51 - 2 Lantai - 3 Kamar Tidur - 2 Kamar Mandi - 1 Ruang Keluarga - 1 Dapur - 1 Carport - Taman, Sisa Lahan Luas Cash 623 JUTA ALL IN Dp 60 Juta Cicilan 2,9 Juta-an PROMO BANK BNI  Lokasi Strategis: - 5 menit dari jalan Raya Ujung Berung - Dekat kawasan Niaga (Griya Toserba, Superindo, Transmart) - Dekat RSUD Ujung Berung Info Lebih Lanjut Hub Marketing Resmi: ERIK",3,54,51,623950000
Rumah Cicik Syariah Ter Bash Seller model Suka2,"Cinunuk, Bandung","Anda Lagi Cari Rumah??Model mu SUKA2 Anda Boleh tersedia di BSM Lokasi Banyak pilihan Boss Cinunuk Cileunyi Cilengkrang Harga mulai 160jtan 200jtan,250jtan,300jtan Gmn lokasi dan spek nya Proses Pembangunan CEPAT Syarat MUDAH Cicil Syariah Syarat KTP Coy Anda Kepoin Ocha  Klik link wa",1,1,60,160000000
Dijual rumah baru minimalis mekar wangi,"Mekarwangi, Bandung","Lt150m2Lb kurleb 150m22 lantaiHGB imb pbbKt 4+1Listrik 2200Air artesis
Harga 3.3milyar",5,150,150,3300000000
Rumah Baru Bagus Jarang Ada Di Singgasana Pradana,"Mekarwangi, Bandung","Lt = 153m²Lb = 204m²Lebar Muka = 8,5mtrKt 4+1Km 3+1Hadap BaratSHMHarga 3,5M Nego
For more infoKontakFrans - Discovery Property",4,204,153,3500000000
Rumah Dijual Siap Huni Mekarwangi Bandung,"Mekarwangi, Bandung",MEKAR PESONA ( Komp.Mekar Wangi Bandung ) ================================= FASILITAS YANG DI BERIKAN : - 4 UNIT AC - SOLARHART ( AIR PANAS ) - FURNITURE DAPUR - FURNITURE LEMARI BAWAH TANGGA ================================= DETAIL RUMAH : - LUAS TANAH 75 M² - LUAS BANGUNAN 110 M² - LEBAR MUKA 5 M - CARPORT ( 2 Mobil ) - 2 LANTAI - KAMAR TIDUR 3 + 1 - KAMAR MANDI  3 - AIR SUMUR ( Submersible ) - LISTRIK 2200 WATT - POSISI HADAP BARAT LAUT ( ANTARA BARAT DAN UTARA ) - SHM - SERTIFIKAT HAK MILIK,4,110,75,1700000000
rumah 5 KT di Resort Dago Pakar,"Mekarsaluyu, Bandung","(Judho)  Resort Dago Pakar Resort Dago Pakar, Mekarsaluyu, Bandung  jual Rp.  10.900.000.000  Tipe: Rumah Area: Resort Dago Pakar LT/LB: 567 m2 / 535 m2 KT/KTP: 5 / 2 KM/KMP: 5 / 2 Status: SHM  Listrik: 6600 Air: Artesis  Lantai: 4 Lantai Garasi: 2 Carport: 4 Furniture: Full Furnish  Hadap: Tenggara  Apakah anda sedang :   1. Sedang mencari Property untuk DIBELI atau DISEWA? (KAMI BANTU TEMUKAN PROPERTY yang SESUAI dengan Kebutuhan dan Budget anda)   2. Atau mau nitip Property milik anda sendiri untuk DIJUALKAN atau DISEWAKAN.  (Kami bisa bantu pasarkan 3x LEBIH CEPAT)    Silahkan Hubungi    Bestson   (WA Fast Respon)  Beyond Property",5,535,567,10900000000
Rumah bangunan clasic kayu jati full furnish lokasi Setiabudi regency,"Sukasari, Bandung","Jual Rumah Cuantik,Asri dan sejukKomplek Setiabudi RegencyLt 268mLb 350mK.tdr 4+2K.mnd 3+1Kayu jatiFull furnish2200wattAir Artesis komplekRp 2.7 M/nego tipis",4,350,268,2700000000
rumah baru siap huni lokasi deket pusat kota bandung di cimuncang-,"Cibeunying Kidul, Bandung","dijual rumah baru siap huni di YPKP Cimuncang bandung Spesifikasi property sebagai berikut: Bentuk tanah : hook Status surat : SHM Luas tanah: 80m2 Luas bangunan: 70M2 Kamar tidur : 2 Kamar mandi : 1 Ruang keluarga+mushola : 1 ruang tamu : 1 Dapur + kitchen set + cuci piring,,, ruangan terbuka belakang untuk mesin cuci,, Kamar tidur pembantu : - Kamar mandi pembantu : - Air : sumur gali Listrik: 900watt Carport berapa mobil: 1 mobil (plus canopy) Pagar rumah keliling, kamera cctv 3 titik (tanpa receiver) pintu tambahan samping (akses kluar masuk) Keamanan : satpam",2,70,80,700000000
RUMAH BEBAS BANJIR PAGARSIH,"Bandung Kulon, Bandung",Sebuah rumah bebas banjir kawasan pagarsih dijual dengan harga bagus. Spesifikasi : Kmr tidur 3 Kmr mandi 1 + water hitter Luas tnh 91 M2 Bgn 75 M2 Pln 2200 Pdam Kondisi bangunan baru Atap baja ringan Pintu kayu kamper Harga 750 juta   SHM Bebas banjir kode :cynthiadr Hubungi : dharono,3,75,91,750000000
Rumah terawat di komplek Pasirjati,Bandung,"Rumah mungil 2kt, cocok untuk home industri",2,150,154,550000000
Pandawa Felice Castilo Hunian Nyaman & Strategis harga terjangkau di Buahbatu,"Buahbatu (Margacinta), Bandung","Pandawa Felice Castilo Hunian Nyaman & Strategis harga terjangkau di Buahbatu   Rumah dengan harga terjangkau di Kabupaten, Dekat Podomoro, Buah Batu, cikoneng, Bojongsoang, Bandung.  tersedian type : 1 Lantai  type 30/50 = 225.000.000 type 36/50 = 240.000.000 type 36/60 = 250.000.000  2 Lantai type 45/50 = 325.000.000 type 36/70 = 350.000.000  Lokasi Strategis Harga Terjangkau  SPESIFIKASI STANDART Legalitas SHM, IMB Sumber Air Submersible  Selling Point : 15 menit dari Podomoro Park Buahbatu. 20 menit dari University Telkom 18 menit dari Transmart Buahbatu 15 menit exit tol Buahbatu Info Lebih Lanjut Hubungi Via WhatsApp  STOK TERBATAS!!  Survei lokasi dan Informasi lanjut hubungi marketing",2,30,50,225000000
Rumah Siap Huni dan Asri Di Pondok Hijau Bandung Utara,"Sukajadi, Bandung","Dijual Rumah Siap Huni dan Asri Di Pondok Hijau Bandung UtaraLuas Tanah 93 m²Luas Bangunan 105 m²Kamar Tidur 2Kamar Mandi 2Air PAMListrik 2200 Watt1.5 Lantai Carport Hadap TimurSHMHarga 1,6 MSelling Point :Dekat Ke pusat Kota BandungDekat ke Tol Paster BandungDekat ke Mall Paris Van JavaDekat ke pusat Wisata Bandung",2,105,93,1600000000
